expression,sentence,label,label_2,,,,,,,
שיחק באש,הילדה שיחקה באש עם נר ונכוותה ביד.,מילולי,0,,,,,,,
שיחק באש,הילד מצא מצית ישן והתחיל לשחק באש ליד הספה.,מילולי,0,,,,,,,
שיחק באש,"הוא שיחק באש בזמן שההורים ישנו, וזה כמעט הסתיים באסון.",מילולי,0,,,,,,,
שיחק באש,הילד שיחק באש עם נר של עוגה במסיבה והבהיל את כולם.,מילולי,0,,,,,,,
שיחק באש,היא שיחקה באש במטבח ואחד המגבות התחילה לבעור.,מילולי,0,,,,,,,
שבר את הלב,היא שברה לי את הלב כשהתעלמה ממני בטיול השנתי.,פיגורטיבי,1,,,,,,,
שבר את הלב,הבגידה שלו שברה לה את הלב ולא השאירה לה תקווה להמשך זוגיות.,פיגורטיבי,1,,,,,,,
שבר את הלב,המילים הקשות האלה שהבת שלהם אמרה באמת שוברות את הלב של כל הורה.,פיגורטיבי,1,,,,,,,
שבר את הלב,לראות את הכלב הנטוש באמצע הרחוב שבר לי את הלב.,פיגורטיבי,1,,,,,,,
שבר את הלב,הוא שבר את הלב שלה כשהודיע שהוא עוזב את העבודה שעבד בא עשרים שנה.,פיגורטיבי,1,,,,,,,
שבר את הלב,התגובה הפומבית השלילית שלה להצעת נישואין פשוט שברה לו את הלב.,פיגורטיבי,1,,,,,,,
שבר את הלב,כל פעם שהוא משקר לה זה שובר לה את הלב מחדש.,פיגורטיבי,1,,,,,,,
שבר את הלב,הילדים בכיתה שברו את הלב של הילד החדש כאשר נידו אותו חברתית.,פיגורטיבי,1,,,,,,,
שבר את הלב,שברתי לה את הלב מבלי להתכוון בכלל עם השקר הזה.,פיגורטיבי,1,,,,,,,
שבר את הלב,החזות השברירית שלו שברה את הלב של כל הנוכחים.,פיגורטיבי,1,,,,,,,
שבר את הלב,לראות את סבתא בוכה לבד בספסל שבר לי את הלב.,פיגורטיבי,1,,,,,,,
שבר את הלב,הוא שבר לה את הלב כששכח את יום ההולדת שלושים שלה.,פיגורטיבי,1,,,,,,,
שבר את הלב,היא שברה לי את הלב כשאמרה שלא אכפת לה מהדעות והרגשות שלי כלפיה.,פיגורטיבי,1,,,,,,,
שבר את הלב,לראות אותו עובד קשה ואף אחד לא מעריך – זה שובר את הלב.,פיגורטיבי,1,,,,,,,
שבר את הלב,התגובה האדישה שלה למכתב הארוך שלי שברה לי את הלב.,פיגורטיבי,1,,,,,,,
שבר את הלב,החייל שבר את הלב במהלך אימון אינטנסיבי בשטח.,מילולי,0,,,,,,,
שבר את הלב,היא שברה את הלב כשהחליקה על קרח ברחוב.,מילולי,0,,,,,,,
שבר את הלב,נגרם לו שבר בלב בעקבות סיבוך רפואי נדיר.,מילולי,0,,,,,,,
שבר את הלב,"לפי הבדיקה, הלחץ בחדרי הלב שבר את המבנה הפנימי.",מילולי,0,,,,,,,
שבר את הלב,שבר בלב נצפה בצילום לאחר תאונה קשה בכביש מהיר.,מילולי,0,,,,,,,
שבר את הלב,"לאחר תאונת דרכים קשה, הוא שבר את הלב ונזקק לניתוח דחוף.",מילולי,0,,,,,,,
שבר את הלב,בבדיקה רפואית התגלה שבר במסתמי הלב.,מילולי,0,,,,,,,
שבר את הלב,הרופא קבע שהוא שבר את הלב כתוצאה מהמאמץ האינטנסיבי.,מילולי,0,,,,,,,
שבר את הלב,הקרדיולוג אמר שנגרם שבר בלב עקב דלקת קשה.,מילולי,0,,,,,,,
שבר את הלב,במהלך ניתוח לב פתוח נוצר שבר לב מסוכן באחד החדרים.,מילולי,0,,,,,,,
שבר את הלב,הלחץ הפיזי גרם לפציעה נדירה שהיא שבר באיבר הלב עצמו.,מילולי,0,,,,,,,
שבר את הלב,הוא שבר את הלב לאחר הרמת משקל כבד מדי במכון כושר.,מילולי,0,,,,,,,
שבר את הלב,הפגיעה הפנימית כתוצאה מהחבלה מהתאונה שברה את הלב.,מילולי,0,,,,,,,
שבר את הלב,התכווצות חזקה במהלך פעילות גופנית באימון קרוספיט שברה את הלב.,מילולי,0,,,,,,,
שבר את הלב,החולה איבד את ההכרה לאחר ששבר את הלב באירוע חריג.,מילולי,0,,,,,,,
קפא במקום,הוא קפא במקום כששמע את קול הצעקה בחשכה באמצע הלילה ברחוב.,פיגורטיבי,1,,,,,,,
קפא במקום,קפאתי במקום ולא הצלחתי לומר מילה כאשר היא הגיבה כך.,פיגורטיבי,1,,,,,,,
קפא במקום,היא קפאה במקום כשפתאום ראתה את אהבת נעוריה באמצע הרחוב.,פיגורטיבי,1,,,,,,,
קפא במקום,הילד קפא במקום כשננזף על ידי המורה באמצע השיעור מול כולם.,פיגורטיבי,1,,,,,,,
קפא במקום,כולם קפאו במקום ברגע שהאזעקה הופעלה.,פיגורטיבי,1,,,,,,,
קפא במקום,קפאתי במקום מההלם כששמעתי את המחיר.,פיגורטיבי,1,,,,,,,
קפא במקום,הוא פשוט קפא במקום מול עיניה הבוכות של אשתו.,פיגורטיבי,1,,,,,,,
קפא במקום,"הבוס הרים את קולו, והעובד קפא במקום מרוב ההלם והבהלה.",פיגורטיבי,1,,,,,,,
קפא במקום,הילדה הקטנה קפאה במקום כשראתה את מישהו פורץ לבית.,פיגורטיבי,1,,,,,,,
קפא במקום,הפתעה מוחלטת גרמה לי לקפוא במקום בלי להבין מה קורה.,פיגורטיבי,1,,,,,,,
קפא במקום,הוא קפא במקום כשהמנהל דרש ממנו להסביר את הכישלון בפרוייקט הראשי שלהם.,פיגורטיבי,1,,,,,,,
קפא במקום,קפאתי במקום כשאמא תפסה אותי בשקר מול כל שאר האחים שלי.,פיגורטיבי,1,,,,,,,
קפא במקום,היא קפאה במקום כשראתה את תאונת הדרכים הקשה מול עיניה.,פיגורטיבי,1,,,,,,,
קפא במקום,קפאנו במקום כשראינו מישהו מאיים עלינו עם סכין באמצע המכולת.,פיגורטיבי,1,,,,,,,
קפא במקום,הילד קפא במקום כשחבריו צחקו עליו בכיתה.,פיגורטיבי,1,,,,,,,
קפא במקום,"אשתי קפאה במקום ליד האגם באמצע החורף הקפוא, הרוח הייתה בלתי נסבלת.",מילולי,0,,,,,,,
קפא במקום,המוכרת קפאה במקום כשנכנסה למקפיא בשרים כדי לבדוק את המצרכים.,מילולי,0,,,,,,,
קפא במקום,הוא קפא במקום בטיול בחרמון בגלל ביגוד לא מתאים.,מילולי,0,,,,,,,
קפא במקום,המטייל קפא במקום בפסגת ההר בגלל היפותרמיה שקיבל.,מילולי,0,,,,,,,
קפא במקום,הילדה שיחקה בשלג ונרטבה עד שקפאה במקום.,מילולי,0,,,,,,,
קפא במקום,"הילד שיחק בשלג, נרטב וקפא במקום מחום הגוף שירד.",מילולי,0,,,,,,,
קפא במקום,הוא יצא החוצה בבוקר חורפי וקפא במקום מהקור.,מילולי,0,,,,,,,
קפא במקום,החייל עמד במשמרת שלוש שעות וקפא במקום.,מילולי,0,,,,,,,
קפא במקום,החתול קפא במקום מרוב קור כשנשאר בגשם.,מילולי,0,,,,,,,
קפא במקום,היא קפאה במקום כשנכנסה למקפיא בטעות.,מילולי,0,,,,,,,
קפא במקום,הכלב נשכב על הקרקע הקפואה באמצע הלילה ופשוט קפא במקום.,מילולי,0,,,,,,,
קפא במקום,הוא קפא במקום בזמן צילום בצפון הקפוא באמצע החורף.,מילולי,0,,,,,,,
קפא במקום,קפא במקום כשהרוח הקרה חדרה לבגדיו.,מילולי,0,,,,,,,
קפא במקום,"בגדי החורף לא הספיקו, והוא קפא במקום בשטח הפתוח.",מילולי,0,,,,,,,
קפא במקום,הבחור קפא במקום בזמן הליכה בשלג בשעת לילה.,מילולי,0,,,,,,,
נפל מהכיסא,"נפלתי מהכיסא ממה שהוא אמר לי באמצע השיעור, לא יכולתי לנשום.",פיגורטיבי,1,,,,,,,
נפל מהכיסא,כולם נפלו מהכיסא כששמעו את התוצאה בבחינה הקשה.,פיגורטיבי,1,,,,,,,
נפל מהכיסא,היא נפלה מהכיסא כשגילתה את המחיר המופרך של העוף.,פיגורטיבי,1,,,,,,,
נפל מהכיסא,הילד נפל מהכיסא כששמע את השמועה על עצמו שכל חברי הכיתה מפיצים.,פיגורטיבי,1,,,,,,,
נפל מהכיסא,הם נפלו מהכיסאות כשגילו מי באמת עומד מאחורי הגניבה המפורסמת.,פיגורטיבי,1,,,,,,,
נפל מהכיסא,הבדיחה שהוא סיפר הייתה כל כך טובה שפשוט נפלתי מהכיסא.,פיגורטיבי,1,,,,,,,
נפל מהכיסא,הוא נפל מהכיסא מרוב מבוכה על המקרה  המטורף ברחוב.,פיגורטיבי,1,,,,,,,
נפל מהכיסא,חברי הקבוצה נפלו מהכיסא כשראו את הציונים בפרוייקט גמר שלהם.,פיגורטיבי,1,,,,,,,
נפל מהכיסא,אני נופל מהכיסא כל פעם מחדש מהתגובות שלך.,פיגורטיבי,1,,,,,,,
נפל מהכיסא,התגובה שלה להצעת הנישואין הפילה אותו מהכיסא.,פיגורטיבי,1,,,,,,,
נפל מהכיסא,נפלתי מהכיסא כשקראתי את ההודעה ששלחת בקבוצה של כל המשפחה.,פיגורטיבי,1,,,,,,,
נפל מהכיסא,היא נפלה מהכיסא כשראתה מי הגיע למסיבה בהפתעה אחרי שנים שלא התראו אחד עם השני.,פיגורטיבי,1,,,,,,,
נפל מהכיסא,הוא נפל מהכיסא כששמע שקיבלו אותו למשרה הבכירה שכלכך חשק בה.,פיגורטיבי,1,,,,,,,
נפל מהכיסא,כולנו נפלנו מהכיסא כשראינו את התוצאה הסופית של השיפוץ של בית חלומותינו.,פיגורטיבי,1,,,,,,,
נפל מהכיסא,נפלתי מהכיסא כשראיתי את התגובה שלה בתקשורת.,פיגורטיבי,1,,,,,,,
נפל מהכיסא,הילד קפץ בזמן הישיבה ונפל מהכיסא על הרצפה.,מילולי,0,,,,,,,
נפל מהכיסא,הסבתא ישבה לא יציב ונפלה מהכיסא תוך כדי שיחה עם הבת שלה.,מילולי,0,,,,,,,
נפל מהכיסא,הוא נפל מהכיסא במטבח כשנשען אחורה יותר מדי.,מילולי,0,,,,,,,
נפל מהכיסא,"במהלך הצילום, הדוגמן נפל מהכיסא ונחבל קלות.",מילולי,0,,,,,,,
נפל מהכיסא,היא ניסתה לקחת ספר מהמדף ונפלה מהכיסא הגבוה.,מילולי,0,,,,,,,
נפל מהכיסא,הילד נרדם בשיעור ונפל מהכיסא בפתאומיות.,מילולי,0,,,,,,,
נפל מהכיסא,הוא ישב על הקצה למרות אזהרת המורה ונפל מהכיסא,מילולי,0,,,,,,,
נפל מהכיסא,הילד ישב על חלק שבור ונפל מהכיסא.,מילולי,0,,,,,,,
נפל מהכיסא,נפל מהכיסא בזמן שסובב אותו מהר מדי כשניסה לשחק אתו.,מילולי,0,,,,,,,
נפל מהכיסא,"הילדה קמה במהירות ושבה לשבת, קיבלה סחרחורת ונפלה מהכיסא.",מילולי,0,,,,,,,
נפל מהכיסא,המורה נבהלה מצעקה של תלמידה טובה ונפלה מהכיסא שלה.,מילולי,0,,,,,,,
נפל מהכיסא,הסטודנט נפל מהכיסא בזמן כתיבה כי החליק.,מילולי,0,,,,,,,
נפל מהכיסא,הילד התנדנד על כיסא בגן שעשועים ונפל מהכיסא.,מילולי,0,,,,,,,
נפל מהכיסא,הוא נפל מהכיסא כשניסה להגיע למשהו גבוה.,מילולי,0,,,,,,,
נפל מהכיסא,הכלב קפץ עליו וגרם לו ליפול מהכיסא.,מילולי,0,,,,,,,
הרים ידיים,"אחרי כל המאמצים, הוא הרים ידיים וויתר על הרעיון.",פיגורטיבי,1,,,,,,,
הרים ידיים,הרגשתי שאין סיכוי לנצח במשחק כדורגל ופשוט הרמתי ידיים.,פיגורטיבי,1,,,,,,,
הרים ידיים,"היא ניסתה לדבר איתו שוב ושוב על הבעיה, ובסוף הרימה ידיים.",פיגורטיבי,1,,,,,,,
הרים ידיים,"כשהצוות לא שיתף פעולה למרות שניסה לדבר, המנהל הרים ידיים ויצא.",פיגורטיבי,1,,,,,,,
הרים ידיים,הוא הרים ידיים מול הביורוקרטיה הבלתי נגמרת של מערכת ביטוח לאומי.,פיגורטיבי,1,,,,,,,
הרים ידיים,"אחרי כל ההתעקשות, היא פשוט הרימה ידיים ואמרה שיעשו מה שהם תרצו.",פיגורטיבי,1,,,,,,,
הרים ידיים,הרמנו ידיים כשלא הצלחנו למצוא פתרון למבחן הקשה.,פיגורטיבי,1,,,,,,,
הרים ידיים,הוא הרים ידיים מול המציאות הלא הוגנת של גידול ילד כהורה יחיד.,פיגורטיבי,1,,,,,,,
הרים ידיים,הרמתי ידיים כשהבנתי שאני היחיד שנלחם פה ומנסה לנצח את היריבים.,פיגורטיבי,1,,,,,,,
הרים ידיים,"גם היא, שהייתה הכי עקשנית, הרימה ידיים לבסוף אל מול המערכת המשפטית.",פיגורטיבי,1,,,,,,,
הרים ידיים,"אחרי חודשים של חיפוש עבודה בלי מענה, הוא פשוט הרים ידיים.",פיגורטיבי,1,,,,,,,
הרים ידיים,היא הרימה ידיים מהזוגיות כשהבינה שהוא לא ישתנה יותר.,פיגורטיבי,1,,,,,,,
הרים ידיים,"הרמתי ידיים מהניסיון להבין את המערכת שיפוט הזאת, זה בלתי אפשרי.",פיגורטיבי,1,,,,,,,
הרים ידיים,הם הרימו ידיים מהפרויקט כשהתקציב נגמר ולא היה פתרון והמנהל שלהם לא עזר להם.,פיגורטיבי,1,,,,,,,
הרים ידיים,המורה הרימה ידיים מהכיתה הרועשת והפסיקה לנסות ללמד ויצאה מהכיתה.,פיגורטיבי,1,,,,,,,
הרים ידיים,הילד הרים ידיים בהתלהבות כששמע שהוא עולה שלב בתחרות.,מילולי,0,,,,,,,
הרים ידיים,"בזמן המשחק, השוער הרים ידיים לבלום את הכדור הגבוה.",מילולי,0,,,,,,,
הרים ידיים,היא הרימה ידיים לאות שלום מול הכלב שהתקרב אליה.,מילולי,0,,,,,,,
הרים ידיים,הוא הרים ידיים כדי להשתתף בחידון בכיתה.,מילולי,0,,,,,,,
הרים ידיים,הילד הרים ידיים בהצגה כששיחק דמות שמבצעת תפילה.,מילולי,0,,,,,,,
הרים ידיים,החייל הרים ידיים כהוראת הכניעה בתרגיל הצבאי.,מילולי,0,,,,,,,
הרים ידיים,הילד הרים ידיים לשמיים וחייך לאמא שלו.,מילולי,0,,,,,,,
הרים ידיים,העצור הרים ידיים כשניגש אליו השוטר עם איוש ממשי עליו.,מילולי,0,,,,,,,
הרים ידיים,היא הרימה ידיים באימון הכושר והחזיקה במשקולות מעל הראש.,מילולי,0,,,,,,,
הרים ידיים,הוא הרים ידיים כדי לסמן שימסרו לו את הכדור באמצע משחק כדורסל.,מילולי,0,,,,,,,
הרים ידיים,כל התלמידים הרימו ידיים לשאלה של המורה בכיתה.,מילולי,0,,,,,,,
הרים ידיים,האישה הרימה ידיים כשעמדה תחת הגשם לסמן למונית לעצור ולקחת אותה.,מילולי,0,,,,,,,
הרים ידיים,הילדה הרימה ידיים כשניסתה לתפוס את הבלון שהשתחרר לה מהחוט.,מילולי,0,,,,,,,
הרים ידיים,הוא הרים ידיים בכניעה מוחלטת מול האקדח שכיוון אליה הגנב.,מילולי,0,,,,,,,
הרים ידיים,כולם הרימו ידיים כאות תמיכה במחאה נגד רשויות השלטון.,מילולי,0,,,,,,,
הרים את הראש,"למרות הכישלון בראיון, היא הרימה את הראש והמשיכה ללכת.",פיגורטיבי,1,,,,,,,
הרים את הראש,הוא הרים את הראש אחרי שנים של השפלה בכיתה וחזר לעצמו.,פיגורטיבי,1,,,,,,,
הרים את הראש,"הרם את הראש, אין לך על מה להתבייש על איך שאתה נראה.",פיגורטיבי,1,,,,,,,
הרים את הראש,היא הרימה את הראש בגאווה מול הקהל והצליחה להמשיך את הנאום פתיחה שלה.,פיגורטיבי,1,,,,,,,
הרים את הראש,לאחר הכשלון הוא הרים את הראש והפגין ביטחון עצמי מרשים.,פיגורטיבי,1,,,,,,,
הרים את הראש,"אחרי שהשיג את המטרה, הוא סוף סוף הרים את הראש.",פיגורטיבי,1,,,,,,,
הרים את הראש,"גם כשהכול קשה, תרים את הראש ואל תוותר.",פיגורטיבי,1,,,,,,,
הרים את הראש,היא הרימה את הראש מול הביקורת וניצחה למרות הכל.,פיגורטיבי,1,,,,,,,
הרים את הראש,הוא הרים את הראש כאילו מעולם לא הובס בתחרות הזאת.,פיגורטיבי,1,,,,,,,
הרים את הראש,הרמנו את הראש כאומה אחרי התקופה הקשה שעברנו בזמן המלחמה.,פיגורטיבי,1,,,,,,,
הרים את הראש,היא הרימה את הראש  אחרי הפאדיחה וענתה למבקרים שלה בביטחון מלא.,פיגורטיבי,1,,,,,,,
הרים את הראש,הרמתי את הראש מול הבוס למרות שהיה איתי קשוח ולא הסכים ועמדתי על שלי בפגישה.,פיגורטיבי,1,,,,,,,
הרים את הראש,"למרות הביקורת הקשה, הוא הרים את הראש והמשיך להילחם על האמת שלו.",פיגורטיבי,1,,,,,,,
הרים את הראש,הוא הרים את הראש מול השופטים והגן על עבודתו בגאווה.,פיגורטיבי,1,,,,,,,
הרים את הראש,"תרים את הראש, זה לא סוף העולם, כולם טועים לפעמים.",פיגורטיבי,1,,,,,,,
הרים את הראש,הילדה הרימה את הראש מהצייר כדי לראות איך נראה הציור שלו.,מילולי,0,,,,,,,
הרים את הראש,הוא הרים את הראש כשהמוזיקה שינתה פתאום קצב באולם.,מילולי,0,,,,,,,
הרים את הראש,הבת שלי הרימה את הראש מהצלחת ושאלה אותי אם אפשר עוד פסטה.,מילולי,0,,,,,,,
הרים את הראש,החתול הרים את הראש מהכרית כשהכלב נבח מהמרפסת.,מילולי,0,,,,,,,
הרים את הראש,הוא הרים את הראש בעדינות כשהרופא ביקש לבדוק את הצוואר שכאב לו.,מילולי,0,,,,,,,
הרים את הראש,הילד הרים את הראש מהשולחן כשקראו בשמו.,מילולי,0,,,,,,,
הרים את הראש,היא הרימה את הראש כדי להביט בתקרה הגבוהה.,מילולי,0,,,,,,,
הרים את הראש,הוא שכב על הרצפה והרים את הראש לאט.,מילולי,0,,,,,,,
הרים את הראש,הרים את הראש מהספר כדי לנוח רגע.,מילולי,0,,,,,,,
הרים את הראש,היא הרימה את הראש ושאלה שאלה מהמקום שלה.,מילולי,0,,,,,,,
הרים את הראש,הוא הרים את הראש לראות מי נכנס לחדר.,מילולי,0,,,,,,,
הרים את הראש,הבת שלו הרימה את הראש כדי לשמוע טוב יותר את אמא שלה מדברת.,מילולי,0,,,,,,,
הרים את הראש,הילד הרים את הראש מהכרית בשינה כשהתעורר.,מילולי,0,,,,,,,
הרים את הראש,הוא הרים את הראש בזמן השיחה כדי לשמור על קשר עין.,מילולי,0,,,,,,,
הרים את הראש,הילד הרים את הראש כשהשמש הציצה בין העננים בזריחה.,מילולי,0,,,,,,,
הוריד פרופיל,"אחרי כל הרעש, הוא החליט להוריד פרופיל ולהיעלם שלא ימצאו אותו לעולם.",פיגורטיבי,1,,,,,,,
הוריד פרופיל,הורדתי פרופיל כדי שלא ישימו לב אליי יותר מדי כי אני מתבייש במעשה שעשיתי.,פיגורטיבי,1,,,,,,,
הוריד פרופיל,היא הורידה פרופיל ברשתות אחרי הפוסט המביך ההוא שחבריי פרסמו עליי.,פיגורטיבי,1,,,,,,,
הוריד פרופיל,הוא הוריד פרופיל ולא הופיע לאירועים הכיתתיים יותר.,פיגורטיבי,1,,,,,,,
הוריד פרופיל,אמא שלה הורידה פרופיל בעבודה כדי לא להיכנס לעוד עימות עם חבר הצוות שלה.,פיגורטיבי,1,,,,,,,
הוריד פרופיל,האשה הורידה פרופיל אחרי התגובה הציבורית הקשה על ההצהרה התקשורתית שלה.,פיגורטיבי,1,,,,,,,
הוריד פרופיל,"כולם ציפו שיתראיין, אבל הוא הוריד פרופיל ונעלם ולא חזר לעולם.",פיגורטיבי,1,,,,,,,
הוריד פרופיל,הורדתי פרופיל בתקופה הקשה ונחתי אחרי שהייתי מותש לחלוטין.,פיגורטיבי,1,,,,,,,
הוריד פרופיל,הורידה פרופיל כדי לא להיתפס בעין הסערה במהלך ההפגנות.,פיגורטיבי,1,,,,,,,
הוריד פרופיל,הוא הוריד פרופיל והפסיק להופיע בציבור.,פיגורטיבי,1,,,,,,,
הוריד פרופיל,"אחרי הסקנדל התקשורתי, הוא הוריד פרופיל ונעלם מהרשתות החברתיות.",פיגורטיבי,1,,,,,,,
הוריד פרופיל,"מאז שהתחילו לדבר עליו, הוא פשוט הוריד פרופיל ולא פתח את הפה.",פיגורטיבי,1,,,,,,,
הוריד פרופיל,היא הורידה פרופיל כדי שלא יזהו אותה בהפגנות בגלל האישיות הבכירה שלה.,פיגורטיבי,1,,,,,,,
הוריד פרופיל,"כשהחלה החקירה, המנכ”ל הוריד פרופיל ונמנע מהצהרות לתקשורת.",פיגורטיבי,1,,,,,,,
הוריד פרופיל,"מאז הפרידה, הוא הוריד פרופיל ולא מדבר עם אף אחד מהחברים שלו.",פיגורטיבי,1,,,,,,,
הוריד פרופיל,"אחרי האבחון, רופא היחידה המליץ להוריד לו פרופיל לשישים וארבע.",מילולי,0,,,,,,,
הוריד פרופיל,החייל הגיש בקשה להורדת פרופיל בגלל בעיות גב כרוניות.,מילולי,0,,,,,,,
